date,Uptime Lydia App %,Uptime TPP interface %,PISP Response (millsec.),Payment Response in Lydia App (millsec.),AISP Response (millsec.),Account balance Response  in Lydia App (millsec.),CBPII Response (millsec.)
2024-08-13,99.99,65,78.25,466.2,77.84,0,78.44
2024-08-14,99.99,100,78.36,444.06,78.22,0,78.67
2024-08-15,99.99,100,78.56,439.96,77.88,0,78.43
2024-08-16,99.99,100,83.39,483.9,82.91,0,83.24
2024-08-17,99.99,100,84.38,761.18,84.24,0,84.44
2024-08-18,99.98,100,78.05,475.5,77.83,0,78.52
2024-08-19,99.99,100,78.64,459.0,78.56,0,79.2
2024-08-20,99.99,100,79.02,422.88,78.28,0,79.67
2024-08-21,99.99,100,79.81,439.92,78.95,0,79.19
2024-08-22,99.96,100,79.04,440.24,78.78,0,79.43
2024-08-23,99.99,100,78.49,453.75,77.82,0,78.63
2024-08-24,99.99,100,78.14,434.9,77.45,0,78.13
2024-08-25,99.99,100,78.1,447.43,77.77,0,77.8
2024-08-26,99.99,100,79.48,459.76,78.74,0,79.91
2024-08-27,99.99,100,78.87,447.21,83.74,0,78.63
2024-08-28,99.99,100,78.48,434.45,77.74,0,78.2
2024-08-29,99.99,100,78.53,464.3,78.0,0,78.29
2024-08-30,99.99,100,78.35,431.33,77.72,0,78.35
2024-08-31,99.99,100,78.35,440.77,77.88,0,78.37
