Date,Uptime Lydia App %,Uptime TPP interface %,PISP Response (millsec.),Payment Response in Lydia App (millsec.),AISP Response (millsec.),Account balance Response in Lydia App (millsec.),CBPII Response (millsec.)
2024-10-01,99.99,100,87.32,483.53,87.28,2885.64,87.29
2024-10-02,99.99,100,85.05,510.35,84.05,3212.15,85.34
2024-10-03,99.99,100,88.13,467.3,86.97,2561.88,87.06
2024-10-04,99.99,100,88.16,403.29,86.81,2872.68,86.64
2024-10-05,99.99,100,86.88,407.05,87.08,2670.07,87.17
2024-10-06,99.99,100,87.39,403.12,86.72,2337.9,87.68
2024-10-07,99.98,100,84.47,455.67,84.21,3081.49,85.04
2024-10-08,99.99,100,91.52,395.16,85.5,2575.55,86.65
2024-10-09,99.99,100,83.89,380.27,83.28,2800.13,84.46
2024-10-10,99.99,100,84.01,372.93,84.15,2786.77,86.2
2024-10-11,99.99,100,83.76,354.48,85.19,2584.44,85.98
2024-10-12,99.99,100,95.01,370.76,84.17,2492.8,84.25
2024-10-13,99.99,100,84.35,377.11,84.99,2346.72,84.08
2024-10-14,99.98,100,85.21,353.93,87.72,3033.58,85.04
2024-10-15,99.99,100,86.72,354.41,86.86,2550.97,85.95
2024-10-16,99.99,100,84.19,349.67,83.57,2630.44,84.03
2024-10-17,99.99,100,87.33,341.95,88.16,2344.82,86.6
2024-10-18,99.99,100,88.57,460.15,88.88,2655.71,89.79
2024-10-19,99.99,100,91.97,362.16,91.06,3175.93,86.65
2024-10-20,99.99,100,90.18,372.89,89.24,2549.75,88.7
2024-10-21,99.99,100,91.67,349.66,91.9,2714.8,93.57
2024-10-22,99.99,100,88.36,344.76,88.45,2725.58,88.52
2024-10-23,99.99,100,93.23,344.07,92.02,2672.91,86.63
2024-10-24,99.99,100,88.08,363.58,86.7,2665.06,89.23
2024-10-25,99.98,100,86.1,338.82,85.93,2499.53,86.11
2024-10-26,99.99,100,91.84,354.7,85.44,3389.38,84.76
2024-10-27,99.99,100,84.35,367.73,86.0,2412.18,87.1
2024-10-28,99.98,100,88.04,345.4,87.69,2352.22,88.3
2024-10-29,99.98,100,87.5,327.93,86.85,2487.41,88.73
2024-10-30,99.99,100,86.71,318.47,86.2,2551.96,86.29
2024-10-31,99.99,100,87.86,296.07,88.53,2652.12,88.44
